Accomack, John F Kennedy, Democrat, 51.68
Albemarle, Richard M Nixon, Republican, 59.47
Alleghany, John F Kennedy, Democrat, 50.84
Amelia, Richard M Nixon, Republican, 51.44
Amherst, John F Kennedy, Democrat, 60.85
Appomattox, John F Kennedy, Democrat, 56.16
Arlington, Richard M Nixon, Republican, 51.4
Augusta, Richard M Nixon, Republican, 67.36
Bath, Richard M Nixon, Republican, 50.59
Bedford, John F Kennedy, Democrat, 51.8
Bland, Richard M Nixon, Republican, 50.75
Botetourt, Richard M Nixon, Republican, 56.79
Brunswick, John F Kennedy, Democrat, 66.23
Buchanan, John F Kennedy, Democrat, 60.76
Buckingham, John F Kennedy, Democrat, 54.93
Campbell, John F Kennedy, Democrat, 50.75
Caroline, John F Kennedy, Democrat, 62.65
Carroll, Richard M Nixon, Republican, 66.29
Charles City, John F Kennedy, Democrat, 64.63
Charlotte, John F Kennedy, Democrat, 65.84
Chesterfield, Richard M Nixon, Republican, 61.71
Clarke, John F Kennedy, Democrat, 53.17
Craig, John F Kennedy, Democrat, 55.22
Culpeper, Richard M Nixon, Republican, 54.86
Cumberland, Richard M Nixon, Republican, 54.75
Dickenson, John F Kennedy, Democrat, 55.56
Dinwiddie, John F Kennedy, Democrat, 63.81
Essex, Richard M Nixon, Republican, 54.25
Fairfax, Richard M Nixon, Republican, 51.65
Fauquier, Richard M Nixon, Republican, 51.86
Floyd, Richard M Nixon, Republican, 70.06
Fluvanna, Richard M Nixon, Republican, 54.89
Franklin, John F Kennedy, Democrat, 58.29
Frederick, Richard M Nixon, Republican, 53.74
Giles, John F Kennedy, Democrat, 51.17
Gloucester, Richard M Nixon, Republican, 50
Goochland, John F Kennedy, Democrat, 49.29
Grayson, Richard M Nixon, Republican, 58.65
Greene, Richard M Nixon, Republican, 64.24
Greensville, John F Kennedy, Democrat, 60.59
Halifax, John F Kennedy, Democrat, 59.36
Hanover, Richard M Nixon, Republican, 59.39
Henrico, Richard M Nixon, Republican, 66.52
Henry, John F Kennedy, Democrat, 58.59
Highland, Richard M Nixon, Republican, 56.55
Isle of Wight, John F Kennedy, Democrat, 63.58
James City, Richard M Nixon, Republican, 50.49
King and Queen, John F Kennedy, Democrat, 54.53
King George, John F Kennedy, Democrat, 50.85
King William, Richard M Nixon, Republican, 51.19
Lancaster, Richard M Nixon, Republican, 59.56
Lee, John F Kennedy, Democrat, 53.23
Loudoun, Richard M Nixon, Republican, 50.99
Louisa, John F Kennedy, Democrat, 50.61
Lunenburg, John F Kennedy, Democrat, 60.99
Madison, Richard M Nixon, Republican, 60.38
Mathews, Richard M Nixon, Republican, 60.95
Mecklenburg, John F Kennedy, Democrat, 55.87
Middlesex, Richard M Nixon, Republican, 58.7
Montgomery, Richard M Nixon, Republican, 66.25
Nansemond, John F Kennedy, Democrat, 74.09
Nelson, John F Kennedy, Democrat, 65.26
New Kent, Richard M Nixon, Republican, 51.67
Norfolk, John F Kennedy, Democrat, 57.08
Northampton, John F Kennedy, Democrat, 57.98
Northumberland, Richard M Nixon, Republican, 60.61
Nottoway, John F Kennedy, Democrat, 57.27
Orange, Richard M Nixon, Republican, 54.28
Page, Richard M Nixon, Republican, 62.53
Patrick, John F Kennedy, Democrat, 54.66
Pittsylvania, John F Kennedy, Democrat, 51.41
Powhatan, Richard M Nixon, Republican, 58.66
Prince Edward, Richard M Nixon, Republican, 53.55
Prince George, John F Kennedy, Democrat, 56.99
Princess Anne, John F Kennedy, Democrat, 54.91
Prince William, John F Kennedy, Democrat, 52.97
Pulaski, Richard M Nixon, Republican, 58.75
Rappahannock, John F Kennedy, Democrat, 55.79
Richmond, Richard M Nixon, Republican, 64.96
Roanoke, Richard M Nixon, Republican, 67.31
Rockbridge, Richard M Nixon, Republican, 60.53
Rockingham, Richard M Nixon, Republican, 70.27
Russell, John F Kennedy, Democrat, 53.34
Scott, Richard M Nixon, Republican, 56.45
Shenandoah, Richard M Nixon, Republican, 66.85
Smyth, Richard M Nixon, Republican, 59.62
Southampton, John F Kennedy, Democrat, 67.98
Spotsylvania, John F Kennedy, Democrat, 52.95
Stafford, John F Kennedy, Democrat, 50.39
Surry, John F Kennedy, Democrat, 69.51
Sussex, John F Kennedy, Democrat, 62.87
Tazewell, John F Kennedy, Democrat, 58.3
Warren, John F Kennedy, Democrat, 49.73
Washington, Richard M Nixon, Republican, 53.59
Westmoreland, Richard M Nixon, Republican, 53
Wise, John F Kennedy, Democrat, 59.92
Wythe, Richard M Nixon, Republican, 57.5
York, Richard M Nixon, Republican, 54.94
Alexandria City, John F Kennedy, Democrat, 52.08
Bristol City, Richard M Nixon, Republican, 52.38
Buena Vista City, Richard M Nixon, Republican, 53.05
Charlottesville City, Richard M Nixon, Republican, 55.08
Clifton Forge City, Richard M Nixon, Republican, 53.22
Colonial Heights City, Richard M Nixon, Republican, 53.16
Covington City, John F Kennedy, Democrat, 51.92
Danville City, Richard M Nixon, Republican, 63.72
Falls Church City, John F Kennedy, Democrat, 51.47
Fredericksburg City, Richard M Nixon, Republican, 53.72
Galax City, Richard M Nixon, Republican, 62.96
Hampton City, Richard M Nixon, Republican, 51.48
Harrisonburg City, Richard M Nixon, Republican, 72.04
Hopewell City, Richard M Nixon, Republican, 54.24
Lynchburg City, Richard M Nixon, Republican, 59.33
Martinsville City, Richard M Nixon, Republican, 49.16
Newport News City, Richard M Nixon, Republican, 53.56
Norfolk City, John F Kennedy, Democrat, 55.83
Norton City, Richard M Nixon, Republican, 51.02
Petersburg City, John F Kennedy, Democrat, 50.84
Portsmouth City, John F Kennedy, Democrat, 58.32
Radford City, Richard M Nixon, Republican, 57.11
Richmond City, Richard M Nixon, Republican, 60.41
Roanoke City, Richard M Nixon, Republican, 62.28
South Boston City, Richard M Nixon, Republican, 62.7
South Norfolk City, John F Kennedy, Democrat, 61.2
Staunton City, Richard M Nixon, Republican, 69.17
Suffolk City, John F Kennedy, Democrat, 50.07
Virginia Beach City, John F Kennedy, Democrat, 56.05
Waynesboro City, Richard M Nixon, Republican, 69.57
Williamsburg City, Richard M Nixon, Republican, 59.1
Winchester City, Richard M Nixon, Republican, 65.61
