Adair, Richard M Nixon, Republican, 67.07
Allen, Richard M Nixon, Republican, 67.22
Anderson, John F Kennedy, Democrat, 50.06
Ballard, John F Kennedy, Democrat, 71.01
Barren, Richard M Nixon, Republican, 51.19
Bath, John F Kennedy, Democrat, 52.25
Bell, Richard M Nixon, Republican, 56.77
Boone, Richard M Nixon, Republican, 61.99
Bourbon, John F Kennedy, Democrat, 57.02
Boyd, Richard M Nixon, Republican, 55.42
Boyle, Richard M Nixon, Republican, 52.28
Bracken, Richard M Nixon, Republican, 60.16
Breathitt, John F Kennedy, Democrat, 62.36
Breckinridge, Richard M Nixon, Republican, 55.92
Bullitt, Richard M Nixon, Republican, 52.4
Butler, Richard M Nixon, Republican, 78.66
Caldwell, Richard M Nixon, Republican, 61.7
Calloway, John F Kennedy, Democrat, 58.31
Campbell, Richard M Nixon, Republican, 54.21
Carlisle, John F Kennedy, Democrat, 64.41
Carroll, John F Kennedy, Democrat, 66.22
Carter, Richard M Nixon, Republican, 58.76
Casey, Richard M Nixon, Republican, 77.3
Christian, John F Kennedy, Democrat, 56.69
Clark, Richard M Nixon, Republican, 52.31
Clay, Richard M Nixon, Republican, 78.09
Clinton, Richard M Nixon, Republican, 84.11
Crittenden, Richard M Nixon, Republican, 67.74
Cumberland, Richard M Nixon, Republican, 76.25
Daviess, Richard M Nixon, Republican, 57.62
Edmonson, Richard M Nixon, Republican, 72.83
Elliott, John F Kennedy, Democrat, 68.73
Estill, Richard M Nixon, Republican, 64.85
Fayette, Richard M Nixon, Republican, 60.43
Fleming, Richard M Nixon, Republican, 55.62
Floyd, John F Kennedy, Democrat, 66.34
Franklin, John F Kennedy, Democrat, 59.79
Fulton, John F Kennedy, Democrat, 63.35
Gallatin, John F Kennedy, Democrat, 57.62
Garrard, Richard M Nixon, Republican, 60.78
Grant, Richard M Nixon, Republican, 53.25
Graves, John F Kennedy, Democrat, 61.3
Grayson, Richard M Nixon, Republican, 67.12
Green, Richard M Nixon, Republican, 69.53
Greenup, Richard M Nixon, Republican, 53.77
Hancock, Richard M Nixon, Republican, 59.38
Hardin, Richard M Nixon, Republican, 54.63
Harlan, John F Kennedy, Democrat, 55.17
Harrison, John F Kennedy, Democrat, 60.15
Hart, Richard M Nixon, Republican, 53.57
Henderson, John F Kennedy, Democrat, 51.21
Henry, John F Kennedy, Democrat, 63.4
Hickman, John F Kennedy, Democrat, 69.21
Hopkins, John F Kennedy, Democrat, 53.59
Jackson, Richard M Nixon, Republican, 90.35
Jefferson, Richard M Nixon, Republican, 50.3
Jessamine, Richard M Nixon, Republican, 57.95
Johnson, Richard M Nixon, Republican, 66.97
Kenton, Richard M Nixon, Republican, 52.89
Knott, John F Kennedy, Democrat, 73.7
Knox, Richard M Nixon, Republican, 66.29
Larue, Richard M Nixon, Republican, 60.9
Laurel, Richard M Nixon, Republican, 76.42
Lawrence, Richard M Nixon, Republican, 54.69
Lee, Richard M Nixon, Republican, 67.74
Leslie, Richard M Nixon, Republican, 83.05
Letcher, Richard M Nixon, Republican, 50.87
Lewis, Richard M Nixon, Republican, 69.41
Lincoln, Richard M Nixon, Republican, 61.15
Livingston, Richard M Nixon, Republican, 51.92
Logan, John F Kennedy, Democrat, 53.41
Lyon, John F Kennedy, Democrat, 57.39
Madison, Richard M Nixon, Republican, 54.35
Magoffin, Richard M Nixon, Republican, 52.54
Marion, John F Kennedy, Democrat, 66.08
Marshall, John F Kennedy, Democrat, 50.7
Martin, Richard M Nixon, Republican, 71.57
Mason, Richard M Nixon, Republican, 57.89
McCracken, John F Kennedy, Democrat, 56.41
McCreary, Richard M Nixon, Republican, 79.89
McLean, Richard M Nixon, Republican, 56.94
Meade, John F Kennedy, Democrat, 56.64
Menifee, John F Kennedy, Democrat, 54.76
Mercer, Richard M Nixon, Republican, 56.81
Metcalfe, Richard M Nixon, Republican, 58.02
Monroe, Richard M Nixon, Republican, 81.72
Montgomery, John F Kennedy, Democrat, 51.75
Morgan, John F Kennedy, Democrat, 62.88
Muhlenberg, Richard M Nixon, Republican, 57.41
Nelson, John F Kennedy, Democrat, 60.94
Nicholas, John F Kennedy, Democrat, 57.9
Ohio, Richard M Nixon, Republican, 68.37
Oldham, Richard M Nixon, Republican, 53.12
Owen, John F Kennedy, Democrat, 66.87
Owsley, Richard M Nixon, Republican, 86.24
Pendleton, Richard M Nixon, Republican, 61.46
Perry, Richard M Nixon, Republican, 53.65
Pike, John F Kennedy, Democrat, 56.7
Powell, Richard M Nixon, Republican, 57.34
Pulaski, Richard M Nixon, Republican, 79.35
Robertson, John F Kennedy, Democrat, 52.33
Rockcastle, Richard M Nixon, Republican, 77.73
Rowan, Richard M Nixon, Republican, 51.47
Russell, Richard M Nixon, Republican, 74.72
Scott, John F Kennedy, Democrat, 54.15
Shelby, John F Kennedy, Democrat, 56.57
Simpson, John F Kennedy, Democrat, 57.82
Spencer, Richard M Nixon, Republican, 51.97
Taylor, Richard M Nixon, Republican, 68.11
Todd, John F Kennedy, Democrat, 60.5
Trigg, John F Kennedy, Democrat, 61.65
Trimble, John F Kennedy, Democrat, 68.11
Union, John F Kennedy, Democrat, 65.9
Warren, Richard M Nixon, Republican, 54.89
Washington, Richard M Nixon, Republican, 52.4
Wayne, Richard M Nixon, Republican, 66.92
Webster, John F Kennedy, Democrat, 56
Whitley, Richard M Nixon, Republican, 71.84
Wolfe, John F Kennedy, Democrat, 55.24
Woodford, Richard M Nixon, Republican, 53.32
