Baker, John F Kennedy, Democrat, 51.5
Benton, Richard M Nixon, Republican, 64.36
Clackamas, Richard M Nixon, Republican, 54.53
Clatsop, John F Kennedy, Democrat, 50.75
Columbia, John F Kennedy, Democrat, 55.97
Coos, John F Kennedy, Democrat, 59.4
Crook, John F Kennedy, Democrat, 53.65
Curry, John F Kennedy, Democrat, 53.7
Deschutes, Richard M Nixon, Republican, 51.74
Douglas, John F Kennedy, Democrat, 51.61
Gilliam, Richard M Nixon, Republican, 54.02
Grant, Richard M Nixon, Republican, 54.13
Harney, Richard M Nixon, Republican, 54.4
Hood River, Richard M Nixon, Republican, 55.86
Jackson, Richard M Nixon, Republican, 54.59
Jefferson, Richard M Nixon, Republican, 53.75
Josephine, Richard M Nixon, Republican, 57.57
Klamath, Richard M Nixon, Republican, 50.46
Lake, Richard M Nixon, Republican, 51.9
Lane, Richard M Nixon, Republican, 52.49
Lincoln, John F Kennedy, Democrat, 50.01
Linn, Richard M Nixon, Republican, 53.89
Malheur, Richard M Nixon, Republican, 59.86
Marion, Richard M Nixon, Republican, 58.28
Morrow, John F Kennedy, Democrat, 50.88
Multnomah, Richard M Nixon, Republican, 50.53
Polk, Richard M Nixon, Republican, 59.38
Sherman, Richard M Nixon, Republican, 56.57
Tillamook, John F Kennedy, Democrat, 50.94
Umatilla, Richard M Nixon, Republican, 53.77
Union, John F Kennedy, Democrat, 52.52
Wallowa, John F Kennedy, Democrat, 53.82
Wasco, John F Kennedy, Democrat, 50.39
Washington, Richard M Nixon, Republican, 58.85
Wheeler, Richard M Nixon, Republican, 54.84
Yamhill, Richard M Nixon, Republican, 59.98
