Arkansas, John F Kennedy, Democrat, 52.44
Ashley, John F Kennedy, Democrat, 62.04
Baxter, Richard M Nixon, Republican, 54.34
Benton, Richard M Nixon, Republican, 67.58
Boone, Richard M Nixon, Republican, 54.36
Bradley, John F Kennedy, Democrat, 70.31
Calhoun, John F Kennedy, Democrat, 72.03
Carroll, Richard M Nixon, Republican, 65.95
Chicot, John F Kennedy, Democrat, 59.1
Clark, John F Kennedy, Democrat, 64.82
Clay, Richard M Nixon, Republican, 55.67
Cleburne, John F Kennedy, Democrat, 50.13
Cleveland, John F Kennedy, Democrat, 70.9
Columbia, John F Kennedy, Democrat, 43.3
Conway, John F Kennedy, Democrat, 60.47
Craighead, Richard M Nixon, Republican, 48.97
Crawford, Richard M Nixon, Republican, 57.1
Crittenden, John F Kennedy, Democrat, 52.24
Cross, John F Kennedy, Democrat, 57.76
Dallas, John F Kennedy, Democrat, 62.68
Desha, John F Kennedy, Democrat, 63.57
Drew, John F Kennedy, Democrat, 62.49
Faulkner, John F Kennedy, Democrat, 57.8
Franklin, John F Kennedy, Democrat, 53.99
Fulton, Richard M Nixon, Republican, 60.95
Garland, Richard M Nixon, Republican, 51.66
Grant, John F Kennedy, Democrat, 61.44
Greene, John F Kennedy, Democrat, 49.81
Hempstead, John F Kennedy, Democrat, 54.55
Hot Spring, John F Kennedy, Democrat, 59
Howard, John F Kennedy, Democrat, 49.95
Independence, Richard M Nixon, Republican, 49.9
Izard, John F Kennedy, Democrat, 59.61
Jackson, John F Kennedy, Democrat, 55.44
Jefferson, John F Kennedy, Democrat, 55.41
Johnson, John F Kennedy, Democrat, 55.01
Lafayette, John F Kennedy, Democrat, 55.31
Lawrence, John F Kennedy, Democrat, 51.02
Lee, John F Kennedy, Democrat, 52.17
Lincoln, John F Kennedy, Democrat, 67.27
Little River, John F Kennedy, Democrat, 65.17
Logan, John F Kennedy, Democrat, 55.33
Lonoke, John F Kennedy, Democrat, 55.93
Madison, Richard M Nixon, Republican, 58.2
Marion, Richard M Nixon, Republican, 50.6
Miller, John F Kennedy, Democrat, 56.06
Mississippi, John F Kennedy, Democrat, 48.54
Monroe, John F Kennedy, Democrat, 60.5
Montgomery, Richard M Nixon, Republican, 49.85
Nevada, John F Kennedy, Democrat, 58.34
Newton, Richard M Nixon, Republican, 67.51
Ouachita, John F Kennedy, Democrat, 63.1
Perry, John F Kennedy, Democrat, 56.97
Phillips, John F Kennedy, Democrat, 61.48
Pike, Richard M Nixon, Republican, 48.19
Poinsett, John F Kennedy, Democrat, 51.75
Polk, Richard M Nixon, Republican, 51.82
Pope, John F Kennedy, Democrat, 49.38
Prairie, John F Kennedy, Democrat, 63.73
Pulaski, John F Kennedy, Democrat, 46.67
Randolph, Richard M Nixon, Republican, 49.42
St. Francis, John F Kennedy, Democrat, 53.83
Saline, John F Kennedy, Democrat, 57.4
Scott, Richard M Nixon, Republican, 50.22
Searcy, Richard M Nixon, Republican, 68.55
Sebastian, Richard M Nixon, Republican, 56.75
Sevier, John F Kennedy, Democrat, 55.73
Sharp, Richard M Nixon, Republican, 51.01
Stone, Richard M Nixon, Republican, 49.36
Union, John F Kennedy, Democrat, 47.92
Van Buren, John F Kennedy, Democrat, 51.08
Washington, Richard M Nixon, Republican, 64.34
White, John F Kennedy, Democrat, 53.33
Woodruff, John F Kennedy, Democrat, 63.63
Yell, John F Kennedy, Democrat, 58.49
