Abbeville, John F Kennedy, Democrat, 78.38
Aiken, Richard M Nixon, Republican, 61.62
Allendale, Richard M Nixon, Republican, 60.37
Anderson, John F Kennedy, Democrat, 78.33
Bamberg, Richard M Nixon, Republican, 64.53
Barnwell, Richard M Nixon, Republican, 58.05
Beaufort, Richard M Nixon, Republican, 52.89
Berkeley, John F Kennedy, Democrat, 51.21
Calhoun, Richard M Nixon, Republican, 61.38
Charleston, Richard M Nixon, Republican, 63.86
Cherokee, John F Kennedy, Democrat, 77.5
Chester, John F Kennedy, Democrat, 71.97
Chesterfield, John F Kennedy, Democrat, 76.43
Clarendon, Richard M Nixon, Republican, 56.03
Colleton, Richard M Nixon, Republican, 56.23
Darlington, John F Kennedy, Democrat, 57.19
Dillon, John F Kennedy, Democrat, 64.83
Dorchester, Richard M Nixon, Republican, 59.93
Edgefield, Richard M Nixon, Republican, 63.12
Fairfield, John F Kennedy, Democrat, 51.32
Florence, John F Kennedy, Democrat, 51.15
Georgetown, John F Kennedy, Democrat, 51.88
Greenville, Richard M Nixon, Republican, 61.85
Greenwood, John F Kennedy, Democrat, 64.03
Hampton, Richard M Nixon, Republican, 62.59
Horry, John F Kennedy, Democrat, 61.45
Jasper, Richard M Nixon, Republican, 51.93
Kershaw, Richard M Nixon, Republican, 52.16
Lancaster, John F Kennedy, Democrat, 65.66
Laurens, John F Kennedy, Democrat, 57.95
Lee, John F Kennedy, Democrat, 53.41
Lexington, Richard M Nixon, Republican, 61.02
McCormick, John F Kennedy, Democrat, 66.21
Marion, John F Kennedy, Democrat, 59.29
Marlboro, John F Kennedy, Democrat, 66.7
Newberry, John F Kennedy, Democrat, 52.52
Oconee, John F Kennedy, Democrat, 69.65
Orangeburg, Richard M Nixon, Republican, 57.36
Pickens, Richard M Nixon, Republican, 62.26
Richland, Richard M Nixon, Republican, 63.94
Saluda, John F Kennedy, Democrat, 51.62
Spartanburg, John F Kennedy, Democrat, 64.79
Sumter, Richard M Nixon, Republican, 63.91
Union, John F Kennedy, Democrat, 72.53
Williamsburg, Richard M Nixon, Republican, 60.57
York, John F Kennedy, Democrat, 61.23
