Adams, Richard M Nixon, Republican, 58.8
Asotin, John F Kennedy, Democrat, 53.89
Benton, Richard M Nixon, Republican, 52.37
Chelan, Richard M Nixon, Republican, 54.1
Clallam, John F Kennedy, Democrat, 52
Clark, John F Kennedy, Democrat, 50.82
Columbia, Richard M Nixon, Republican, 62.13
Cowlitz, Richard M Nixon, Republican, 49.79
Douglas, Richard M Nixon, Republican, 51.07
Ferry, John F Kennedy, Democrat, 59.57
Franklin, John F Kennedy, Democrat, 54.8
Garfield, Richard M Nixon, Republican, 56.88
Grant, Richard M Nixon, Republican, 50.44
Grays Harbor, John F Kennedy, Democrat, 57.37
Island, Richard M Nixon, Republican, 59.01
Jefferson, John F Kennedy, Democrat, 51.01
King, Richard M Nixon, Republican, 50.85
Kitsap, John F Kennedy, Democrat, 52.71
Kittitas, Richard M Nixon, Republican, 51.83
Klickitat, Richard M Nixon, Republican, 50.69
Lewis, Richard M Nixon, Republican, 56.53
Lincoln, Richard M Nixon, Republican, 58.77
Mason, John F Kennedy, Democrat, 52.94
Okanogan, John F Kennedy, Democrat, 51.48
Pacific, John F Kennedy, Democrat, 54.12
Pend Oreille, John F Kennedy, Democrat, 55.57
Pierce, John F Kennedy, Democrat, 52.07
San Juan, Richard M Nixon, Republican, 63.91
Skagit, Richard M Nixon, Republican, 52.4
Skamania, John F Kennedy, Democrat, 55.03
Snohomish, John F Kennedy, Democrat, 53.02
Spokane, Richard M Nixon, Republican, 51.62
Stevens, Richard M Nixon, Republican, 51.24
Thurston, Richard M Nixon, Republican, 54.37
Wahkiakum, John F Kennedy, Democrat, 53.6
Walla Walla, Richard M Nixon, Republican, 63.64
Whatcom, Richard M Nixon, Republican, 52.82
Whitman, Richard M Nixon, Republican, 59.58
Yakima, Richard M Nixon, Republican, 58.68
