Aitkin, Richard M Nixon, Republican, 50.66
Anoka, John F Kennedy, Democrat, 58.89
Becker, John F Kennedy, Democrat, 50.6
Beltrami, John F Kennedy, Democrat, 50.81
Benton, John F Kennedy, Democrat, 55.56
Big Stone, John F Kennedy, Democrat, 56.91
Blue Earth, Richard M Nixon, Republican, 58.35
Brown, Richard M Nixon, Republican, 56.89
Carlton, John F Kennedy, Democrat, 61.98
Carver, Richard M Nixon, Republican, 60.93
Cass, Richard M Nixon, Republican, 55.05
Chippewa, Richard M Nixon, Republican, 51.69
Chisago, Richard M Nixon, Republican, 56.59
Clay, Richard M Nixon, Republican, 53.26
Clearwater, John F Kennedy, Democrat, 59.64
Cook, Richard M Nixon, Republican, 60.15
Cottonwood, Richard M Nixon, Republican, 64.62
Crow Wing, Richard M Nixon, Republican, 52.87
Dakota, John F Kennedy, Democrat, 57.13
Dodge, Richard M Nixon, Republican, 63.42
Douglas, Richard M Nixon, Republican, 53.25
Faribault, Richard M Nixon, Republican, 61.8
Fillmore, Richard M Nixon, Republican, 65.6
Freeborn, Richard M Nixon, Republican, 52.73
Goodhue, Richard M Nixon, Republican, 65.16
Grant, John F Kennedy, Democrat, 50.98
Hennepin, Richard M Nixon, Republican, 51.26
Houston, Richard M Nixon, Republican, 60.93
Hubbard, Richard M Nixon, Republican, 57.43
Isanti, Richard M Nixon, Republican, 53.86
Itasca, John F Kennedy, Democrat, 61.82
Jackson, John F Kennedy, Democrat, 51.96
Kanabec, Richard M Nixon, Republican, 54.33
Kandiyohi, Richard M Nixon, Republican, 50.02
Kittson, John F Kennedy, Democrat, 53.25
Koochiching, John F Kennedy, Democrat, 59.8
Lac qui Parle, John F Kennedy, Democrat, 50.44
Lake, John F Kennedy, Democrat, 62.91
Lake of the Woods, John F Kennedy, Democrat, 55.3
Le Sueur, John F Kennedy, Democrat, 54.13
Lincoln, John F Kennedy, Democrat, 53.68
Lyon, John F Kennedy, Democrat, 53.86
Mahnomen, John F Kennedy, Democrat, 67.81
Marshall, John F Kennedy, Democrat, 55.47
Martin, Richard M Nixon, Republican, 66.81
McLeod, Richard M Nixon, Republican, 62.67
Meeker, Richard M Nixon, Republican, 56.74
Mille Lacs, Richard M Nixon, Republican, 57.29
Morrison, John F Kennedy, Democrat, 62.37
Mower, Richard M Nixon, Republican, 52.4
Murray, Richard M Nixon, Republican, 52.64
Nicollet, Richard M Nixon, Republican, 57.08
Nobles, Richard M Nixon, Republican, 53.2
Norman, John F Kennedy, Democrat, 52.49
Olmsted, Richard M Nixon, Republican, 59.41
Otter Tail, Richard M Nixon, Republican, 62.94
Pennington, John F Kennedy, Democrat, 55.63
Pine, John F Kennedy, Democrat, 54.78
Pipestone, Richard M Nixon, Republican, 59.97
Polk, John F Kennedy, Democrat, 55.27
Pope, Richard M Nixon, Republican, 51.39
Ramsey, John F Kennedy, Democrat, 58.15
Red Lake, John F Kennedy, Democrat, 73.17
Redwood, Richard M Nixon, Republican, 60.47
Renville, Richard M Nixon, Republican, 54.2
Rice, Richard M Nixon, Republican, 54.87
Rock, Richard M Nixon, Republican, 65.49
Roseau, John F Kennedy, Democrat, 58.34
Saint Louis, John F Kennedy, Democrat, 63.23
Scott, John F Kennedy, Democrat, 62.21
Sherburne, Richard M Nixon, Republican, 52.37
Sibley, Richard M Nixon, Republican, 66.12
Stearns, John F Kennedy, Democrat, 58.4
Steele, Richard M Nixon, Republican, 60.13
Stevens, Richard M Nixon, Republican, 52.87
Swift, John F Kennedy, Democrat, 58.63
Todd, Richard M Nixon, Republican, 50.85
Traverse, John F Kennedy, Democrat, 59.11
Wabasha, Richard M Nixon, Republican, 55.7
Wadena, Richard M Nixon, Republican, 57.83
Waseca, Richard M Nixon, Republican, 63.36
Washington, John F Kennedy, Democrat, 51.31
Watonwan, Richard M Nixon, Republican, 63.28
Wilkin, Richard M Nixon, Republican, 50.14
Winona, Richard M Nixon, Republican, 52.14
Wright, Richard M Nixon, Republican, 52.57
Yellow Medicine, Richard M Nixon, Republican, 50.84
