Martin, John F Kennedy, Democrat, 88.77
Northampton, John F Kennedy, Democrat, 87.52
Greene, John F Kennedy, Democrat, 87.27
Bertie, John F Kennedy, Democrat, 86.45
Franklin, John F Kennedy, Democrat, 82.1
Warren, John F Kennedy, Democrat, 80.69
Gates, John F Kennedy, Democrat, 80.09
Hertford, John F Kennedy, Democrat, 79.9
Halifax, John F Kennedy, Democrat, 79.11
Pitt, John F Kennedy, Democrat, 78.37
Chowan, John F Kennedy, Democrat, 78.27
Currituck, John F Kennedy, Democrat, 78.06
Hoke, John F Kennedy, Democrat, 77.94
Edgecombe, John F Kennedy, Democrat, 77.93
Jones, John F Kennedy, Democrat, 76.65
Robeson, John F Kennedy, Democrat, 76.45
Camden, John F Kennedy, Democrat, 75
Columbus, John F Kennedy, Democrat, 74.1
Scotland, John F Kennedy, Democrat, 74.01
Vance, John F Kennedy, Democrat, 73.89
Granville, John F Kennedy, Democrat, 73.34
Tyrrell, John F Kennedy, Democrat, 72.63
Nash, John F Kennedy, Democrat, 72.14
Anson, John F Kennedy, Democrat, 72.07
Wilson, John F Kennedy, Democrat, 72.03
Richmond, John F Kennedy, Democrat, 71.63
Pasquotank, John F Kennedy, Democrat, 71.26
Duplin, John F Kennedy, Democrat, 71.11
Hyde, John F Kennedy, Democrat, 70.45
Washington, John F Kennedy, Democrat, 70.16
Bladen, John F Kennedy, Democrat, 70.13
Perquimans, John F Kennedy, Democrat, 69.62
Beaufort, John F Kennedy, Democrat, 69.15
Person, John F Kennedy, Democrat, 69.09
Caswell, John F Kennedy, Democrat, 69.01
Lenoir, John F Kennedy, Democrat, 68.96
Pender, John F Kennedy, Democrat, 68.29
Onslow, John F Kennedy, Democrat, 66.43
Craven, John F Kennedy, Democrat, 66.05
Union, John F Kennedy, Democrat, 64.72
Lee, John F Kennedy, Democrat, 64.58
Pamlico, John F Kennedy, Democrat, 61.53
Harnett, John F Kennedy, Democrat, 59.82
Johnston, John F Kennedy, Democrat, 59.82
Brunswick, John F Kennedy, Democrat, 59.63
Cumberland, John F Kennedy, Democrat, 58.97
Wayne, John F Kennedy, Democrat, 58.93
Wake, John F Kennedy, Democrat, 58.56
Orange, John F Kennedy, Democrat, 57.85
New Hanover, John F Kennedy, Democrat, 57.42
Durham, John F Kennedy, Democrat, 57.4
Cleveland, John F Kennedy, Democrat, 56.08
Rockingham, John F Kennedy, Democrat, 54.24
Dare, John F Kennedy, Democrat, 54.1
Carteret, John F Kennedy, Democrat, 53.95
Chatham, John F Kennedy, Democrat, 52.09
Alleghany, John F Kennedy, Democrat, 51.74
Sampson, John F Kennedy, Democrat, 50.98
Madison, John F Kennedy, Democrat, 50.69
Swain, John F Kennedy, Democrat, 50.69
Yancey, John F Kennedy, Democrat, 50.2
Lincoln, Richard M Nixon, Republican, 50.32
Jackson, Richard M Nixon, Republican, 50.74
Polk, Richard M Nixon, Republican, 50.84
Moore, Richard M Nixon, Republican, 51.17
Rutherford, Richard M Nixon, Republican, 51.25
Alexander, Richard M Nixon, Republican, 51.35
Gaston, Richard M Nixon, Republican, 51.39
Haywood, Richard M Nixon, Republican, 51.62
Ashe, Richard M Nixon, Republican, 51.86
Stokes, Richard M Nixon, Republican, 52.06
Alamance, Richard M Nixon, Republican, 52.14
Montgomery, Richard M Nixon, Republican, 52.53
Buncombe, Richard M Nixon, Republican, 54.61
Macon, Richard M Nixon, Republican, 54.66
Mecklenburg, Richard M Nixon, Republican, 55.07
Surry, Richard M Nixon, Republican, 55.08
Transylvania, Richard M Nixon, Republican, 55.47
McDowell, Richard M Nixon, Republican, 55.7
Graham, Richard M Nixon, Republican, 56.32
Burke, Richard M Nixon, Republican, 56.34
Clay, Richard M Nixon, Republican, 56.73
Caldwell, Richard M Nixon, Republican, 56.98
Stanly, Richard M Nixon, Republican, 57.29
Cherokee, Richard M Nixon, Republican, 57.32
Iredell, Richard M Nixon, Republican, 57.39
Guilford, Richard M Nixon, Republican, 57.57
Rowan, Richard M Nixon, Republican, 57.84
Forsyth, Richard M Nixon, Republican, 58.13
Catawba, Richard M Nixon, Republican, 58.65
Davidson, Richard M Nixon, Republican, 58.9
Watauga, Richard M Nixon, Republican, 59.34
Randolph, Richard M Nixon, Republican, 61.7
Wilkes, Richard M Nixon, Republican, 61.98
Cabarrus, Richard M Nixon, Republican, 64.36
Davie, Richard M Nixon, Republican, 65.96
Henderson, Richard M Nixon, Republican, 70.15
Yadkin, Richard M Nixon, Republican, 72.3
Avery, Richard M Nixon, Republican, 79.95
Mitchell, Richard M Nixon, Republican, 80.45
