Anderson, Richard M Nixon, Republican, 52.16
Andrews, John F Kennedy, Democrat, 53.42
Angelina, John F Kennedy, Democrat, 56.32
Aransas, John F Kennedy, Democrat, 54.23
Archer, John F Kennedy, Democrat, 66.29
Armstrong, Richard M Nixon, Republican, 56.74
Atascosa, John F Kennedy, Democrat, 58.34
Austin, Richard M Nixon, Republican, 52.92
Bailey, Richard M Nixon, Republican, 51.96
Bandera, Richard M Nixon, Republican, 63.48
Bastrop, John F Kennedy, Democrat, 70.25
Baylor, John F Kennedy, Democrat, 62.68
Bee, John F Kennedy, Democrat, 53.42
Bell, John F Kennedy, Democrat, 69.67
Bexar, John F Kennedy, Democrat, 53.74
Blanco, John F Kennedy, Democrat, 59.54
Borden, John F Kennedy, Democrat, 55.96
Bosque, John F Kennedy, Democrat, 52.54
Bowie, John F Kennedy, Democrat, 60.54
Brazoria, Richard M Nixon, Republican, 50.13
Brazos, John F Kennedy, Democrat, 56.38
Brewster, Richard M Nixon, Republican, 50.51
Briscoe, John F Kennedy, Democrat, 51.26
Brooks, John F Kennedy, Democrat, 77.02
Brown, John F Kennedy, Democrat, 51.11
Burleson, John F Kennedy, Democrat, 78.46
Burnet, John F Kennedy, Democrat, 59.48
Caldwell, John F Kennedy, Democrat, 64.64
Calhoun, John F Kennedy, Democrat, 54.56
Callahan, John F Kennedy, Democrat, 54.93
Cameron, John F Kennedy, Democrat, 54.84
Camp, John F Kennedy, Democrat, 59.41
Carson, Richard M Nixon, Republican, 57.62
Cass, John F Kennedy, Democrat, 55.46
Castro, John F Kennedy, Democrat, 64.82
Chambers, John F Kennedy, Democrat, 54.12
Cherokee, John F Kennedy, Democrat, 57.65
Childress, Richard M Nixon, Republican, 56.78
Clay, John F Kennedy, Democrat, 62.25
Cochran, John F Kennedy, Democrat, 61.41
Coke, John F Kennedy, Democrat, 57.56
Coleman, Richard M Nixon, Republican, 53.48
Collin, John F Kennedy, Democrat, 57.1
Collingsworth, Richard M Nixon, Republican, 60.83
Colorado, John F Kennedy, Democrat, 54.13
Comal, Richard M Nixon, Republican, 62.38
Comanche, John F Kennedy, Democrat, 51.67
Concho, John F Kennedy, Democrat, 57.81
Cooke, Richard M Nixon, Republican, 55.5
Coryell, John F Kennedy, Democrat, 64.41
Cottle, John F Kennedy, Democrat, 72.45
