Abbeville, Ernest Hollings, Democrat, 61.5
Aiken, Thomas F Hartnett, Republican, 51.3
Allendale, Ernest Hollings, Democrat, 71.5
Anderson, Thomas F Hartnett, Republican, 52.1
Bamberg, Ernest Hollings, Democrat, 70.8
Barnwell, Ernest Hollings, Democrat, 56.2
Beaufort, Thomas F Hartnett, Republican, 53.6
Berkeley, Thomas F Hartnett, Republican, 49.7
Calhoun, Ernest Hollings, Democrat, 60.2
Charleston, Ernest Hollings, Democrat, 53.2
Cherokee, Ernest Hollings, Democrat, 51.5
Chester, Ernest Hollings, Democrat, 60.4
Chesterfield, Ernest Hollings, Democrat, 57.8
Clarendon, Ernest Hollings, Democrat, 62.2
Colleton, Ernest Hollings, Democrat, 56.6
Darlington, Ernest Hollings, Democrat, 53.9
Dillon, Ernest Hollings, Democrat, 64.3
Dorchester, Thomas F Hartnett, Republican, 52.1
Edgefield, Ernest Hollings, Democrat, 58.3
Fairfield, Ernest Hollings, Democrat, 69.3
Florence, Ernest Hollings, Democrat, 49.5
Georgetown, Ernest Hollings, Democrat, 55.1
Greenville, Thomas F Hartnett, Republican, 57.1
Greenwood, Ernest Hollings, Democrat, 48.7
Hampton, Ernest Hollings, Democrat, 65.9
Horry, Thomas F Hartnett, Republican, 50.3
Jasper, Ernest Hollings, Democrat, 62.1
Kershaw, Ernest Hollings, Democrat, 49.2
Lancaster, Ernest Hollings, Democrat, 53.4
Laurens, Ernest Hollings, Democrat, 54.9
Lee, Ernest Hollings, Democrat, 69.7
Lexington, Thomas F Hartnett, Republican, 57.2
McCormick, Ernest Hollings, Democrat, 72.6
Marion, Ernest Hollings, Democrat, 63.6
Marlboro, Ernest Hollings, Democrat, 72.4
Newberry, Ernest Hollings, Democrat, 51.8
Oconee, Thomas F Hartnett, Republican, 53.6
Orangeburg, Ernest Hollings, Democrat, 65.9
Pickens, Thomas F Hartnett, Republican, 56.3
Richland, Ernest Hollings, Democrat, 58.2
Saluda, Ernest Hollings, Democrat, 52.8
Spartanburg, Thomas F Hartnett, Republican, 50.4
Sumter, Ernest Hollings, Democrat, 53.7
Union, Ernest Hollings, Democrat, 56.8
Williamsburg, Ernest Hollings, Democrat, 64.9
York, Thomas F Hartnett, Republican, 52.9
