Adair, Chuck Grassley, Republican, 74
Adams, Chuck Grassley, Republican, 74.3
Allamakee, Chuck Grassley, Republican, 75.2
Appanoose, Chuck Grassley, Republican, 64.5
Audubon, Chuck Grassley, Republican, 71.6
Benton, Chuck Grassley, Republican, 74.9
Black Hawk, Chuck Grassley, Republican, 67.3
Boone, Chuck Grassley, Republican, 69.2
Bremer, Chuck Grassley, Republican, 78.1
Buchanan, Chuck Grassley, Republican, 75.9
Buena Vista, Chuck Grassley, Republican, 77.1
Butler, Chuck Grassley, Republican, 79
Calhoun, Chuck Grassley, Republican, 75.2
Carroll, Chuck Grassley, Republican, 73.7
Cass, Chuck Grassley, Republican, 76.6
Cedar, Chuck Grassley, Republican, 74.8
Cerro Gordo, Chuck Grassley, Republican, 70.8
Cherokee, Chuck Grassley, Republican, 79.4
Chickasaw, Chuck Grassley, Republican, 77.6
Clarke, Chuck Grassley, Republican, 68.1
Clay, Chuck Grassley, Republican, 70.9
Clayton, Chuck Grassley, Republican, 75.3
Clinton, Chuck Grassley, Republican, 65.6
Crawford, Chuck Grassley, Republican, 75.3
Dallas, Chuck Grassley, Republican, 69.1
Davis, Chuck Grassley, Republican, 67
Decatur, Chuck Grassley, Republican, 69.2
Delaware, Chuck Grassley, Republican, 78.4
Des Moines, Chuck Grassley, Republican, 56.5
Dickinson, Chuck Grassley, Republican, 74.6
Dubuque, Chuck Grassley, Republican, 67.5
Emmet, Chuck Grassley, Republican, 70
Fayette, Chuck Grassley, Republican, 72
Floyd, Chuck Grassley, Republican, 72.4
Franklin, Chuck Grassley, Republican, 79.4
Fremont, Chuck Grassley, Republican, 71.8
Greene, Chuck Grassley, Republican, 74
Grundy, Chuck Grassley, Republican, 82.1
Guthrie, Chuck Grassley, Republican, 71.3
Hamilton, Chuck Grassley, Republican, 73
Hancock, Chuck Grassley, Republican, 82.4
Hardin, Chuck Grassley, Republican, 74.2
Harrison, Chuck Grassley, Republican, 70.1
Henry, Chuck Grassley, Republican, 73.1
Howard, Chuck Grassley, Republican, 77.5
Humboldt, Chuck Grassley, Republican, 79
Ida, Chuck Grassley, Republican, 79.8
Iowa, Chuck Grassley, Republican, 79.8
Jackson, Chuck Grassley, Republican, 72
Jasper, Chuck Grassley, Republican, 67.4
Jefferson, Chuck Grassley, Republican, 52.3
Johnson, Chuck Grassley, Republican, 58.1
Jones, Chuck Grassley, Republican, 76.4
Keokuk, Chuck Grassley, Republican, 72.9
Kossuth, Chuck Grassley, Republican, 77.6
Lee, Chuck Grassley, Republican, 52.3
Linn, Chuck Grassley, Republican, 69.5
Louisa, Chuck Grassley, Republican, 72.4
Lucas, Chuck Grassley, Republican, 72.3
Lyon, Chuck Grassley, Republican, 83.9
Madison, Chuck Grassley, Republican, 69.8
Mahaska, Chuck Grassley, Republican, 75.3
Marion, Chuck Grassley, Republican, 70.5
Marshall, Chuck Grassley, Republican, 69.5
Mills, Chuck Grassley, Republican, 72.8
Mitchell, Chuck Grassley, Republican, 78.6
Monona, Chuck Grassley, Republican, 75
Monroe, Chuck Grassley, Republican, 69
Montgomery, Chuck Grassley, Republican, 76.4
Muscatine, Chuck Grassley, Republican, 68.5
O'Brien, Chuck Grassley, Republican, 83.6
Osceola, Chuck Grassley, Republican, 82.4
Page, Chuck Grassley, Republican, 81.2
Palo Alto, Chuck Grassley, Republican, 73.4
Plymouth, Chuck Grassley, Republican, 78.6
Pocahontas, Chuck Grassley, Republican, 78.4
Polk, Chuck Grassley, Republican, 66.6
Pottawattamie, Chuck Grassley, Republican, 65.1
Poweshiek, Chuck Grassley, Republican, 67.4
Ringgold, Chuck Grassley, Republican, 76.2
Sac, Chuck Grassley, Republican, 79.9
Scott, Chuck Grassley, Republican, 65.9
Shelby, Chuck Grassley, Republican, 73.8
Sioux, Chuck Grassley, Republican, 90.9
Story, Chuck Grassley, Republican, 65.6
Tama, Chuck Grassley, Republican, 76.2
Taylor, Chuck Grassley, Republican, 76.9
Union, Chuck Grassley, Republican, 70.7
Van Buren, Chuck Grassley, Republican, 69.8
Wapello, Chuck Grassley, Republican, 57.2
Warren, Chuck Grassley, Republican, 66.5
Washington, Chuck Grassley, Republican, 74.5
Wayne, Chuck Grassley, Republican, 69.1
Webster, Chuck Grassley, Republican, 67.2
Winnebago, Chuck Grassley, Republican, 69.6
Winneshiek, Chuck Grassley, Republican, 74.6
Woodbury, Chuck Grassley, Republican, 72.4
Worth, Chuck Grassley, Republican, 78.3
Wright, Chuck Grassley, Republican, 75.4
