Adair, Chuck Grassley, Republican, 79.2
Adams, Chuck Grassley, Republican, 80.3
Allamakee, Chuck Grassley, Republican, 71.3
Appanoose, Chuck Grassley, Republican, 69.5
Audubon, Chuck Grassley, Republican, 78.7
Benton, Chuck Grassley, Republican, 73.5
Black Hawk, Chuck Grassley, Republican, 67.8
Boone, Chuck Grassley, Republican, 70.8
Bremer, Chuck Grassley, Republican, 76.8
Buchanan, Chuck Grassley, Republican, 71.4
Buena Vista, Chuck Grassley, Republican, 78.6
Butler, Chuck Grassley, Republican, 81.4
Calhoun, Chuck Grassley, Republican, 79.9
Carroll, Chuck Grassley, Republican, 75.5
Cass, Chuck Grassley, Republican, 81.4
Cedar, Chuck Grassley, Republican, 72.6
Cerro Gordo, Chuck Grassley, Republican, 69.5
Cherokee, Chuck Grassley, Republican, 80.5
Chickasaw, Chuck Grassley, Republican, 75.1
Clarke, Chuck Grassley, Republican, 73.7
Clay, Chuck Grassley, Republican, 75.8
Clayton, Chuck Grassley, Republican, 73
Clinton, Chuck Grassley, Republican, 62.3
Crawford, Chuck Grassley, Republican, 79.1
Dallas, Chuck Grassley, Republican, 76.4
Davis, Chuck Grassley, Republican, 75.5
Decatur, Chuck Grassley, Republican, 74.7
Delaware, Chuck Grassley, Republican, 76.7
Des Moines, Chuck Grassley, Republican, 58.6
Dickinson, Chuck Grassley, Republican, 78.3
Dubuque, Chuck Grassley, Republican, 63.7
Emmet, Chuck Grassley, Republican, 74.7
Fayette, Chuck Grassley, Republican, 72.5
Floyd, Chuck Grassley, Republican, 74.6
Franklin, Chuck Grassley, Republican, 81.4
Fremont, Chuck Grassley, Republican, 78.6
Greene, Chuck Grassley, Republican, 76
Grundy, Chuck Grassley, Republican, 84.5
Guthrie, Chuck Grassley, Republican, 76.5
Hamilton, Chuck Grassley, Republican, 76.2
Hancock, Chuck Grassley, Republican, 79.4
Hardin, Chuck Grassley, Republican, 75.8
Harrison, Chuck Grassley, Republican, 77.1
Henry, Chuck Grassley, Republican, 75.7
Howard, Chuck Grassley, Republican, 74.4
Humboldt, Chuck Grassley, Republican, 80.6
Ida, Chuck Grassley, Republican, 82.8
Iowa, Chuck Grassley, Republican, 74.6
Jackson, Chuck Grassley, Republican, 68.4
Jasper, Chuck Grassley, Republican, 67.5
Jefferson, Chuck Grassley, Republican, 61.6
Johnson, Chuck Grassley, Republican, 52.4
Jones, Chuck Grassley, Republican, 72.7
Keokuk, Chuck Grassley, Republican, 80.3
Kossuth, Chuck Grassley, Republican, 77.8
Lee, Chuck Grassley, Republican, 60.1
Linn, Chuck Grassley, Republican, 65.2
Louisa, Chuck Grassley, Republican, 72.6
Lucas, Chuck Grassley, Republican, 75.5
Lyon, Chuck Grassley, Republican, 87.1
Madison, Chuck Grassley, Republican, 75.7
Mahaska, Chuck Grassley, Republican, 81.4
Marion, Chuck Grassley, Republican, 77
Marshall, Chuck Grassley, Republican, 70.6
Mills, Chuck Grassley, Republican, 79.3
Mitchell, Chuck Grassley, Republican, 75
Monona, Chuck Grassley, Republican, 75
Monroe, Chuck Grassley, Republican, 76.9
Montgomery, Chuck Grassley, Republican, 83.8
Muscatine, Chuck Grassley, Republican, 67.6
O'Brien, Chuck Grassley, Republican, 84
Osceola, Chuck Grassley, Republican, 84.4
Page, Chuck Grassley, Republican, 81.8
Palo Alto, Chuck Grassley, Republican, 76.6
Plymouth, Chuck Grassley, Republican, 80.1
Pocahontas, Chuck Grassley, Republican, 80.6
Polk, Chuck Grassley, Republican, 66.8
Pottawattamie, Chuck Grassley, Republican, 72.1
Poweshiek, Chuck Grassley, Republican, 66.8
Ringgold, Chuck Grassley, Republican, 81.4
Sac, Chuck Grassley, Republican, 80.9
Scott, Chuck Grassley, Republican, 67.4
Shelby, Chuck Grassley, Republican, 81.4
Sioux, Chuck Grassley, Republican, 92.2
Story, Chuck Grassley, Republican, 69
Tama, Chuck Grassley, Republican, 73.6
Taylor, Chuck Grassley, Republican, 79.5
Union, Chuck Grassley, Republican, 74.5
Van Buren, Chuck Grassley, Republican, 78.4
Wapello, Chuck Grassley, Republican, 63.3
Warren, Chuck Grassley, Republican, 71.2
Washington, Chuck Grassley, Republican, 77
Wayne, Chuck Grassley, Republican, 75.6
Webster, Chuck Grassley, Republican, 70.4
Winnebago, Chuck Grassley, Republican, 76.7
Winneshiek, Chuck Grassley, Republican, 72.4
Woodbury, Chuck Grassley, Republican, 68
Worth, Chuck Grassley, Republican, 75.8
Wright, Chuck Grassley, Republican, 77.8
