Alamance, Richard Burr, Republican, 56.8
Alexander, Richard Burr, Republican, 64.1
Alleghany, Richard Burr, Republican, 58.3
Anson, Erskine Bowles, Democrat, 62.4
Ashe, Richard Burr, Republican, 59.3
Avery, Richard Burr, Republican, 71.3
Beaufort, Richard Burr, Republican, 56.5
Bertie, Erskine Bowles, Democrat, 66
Bladen, Erskine Bowles, Democrat, 56.1
Brunswick, Richard Burr, Republican, 55.1
Buncombe, Erskine Bowles, Democrat, 51.4
Burke, Richard Burr, Republican, 57.3
Cabarrus, Richard Burr, Republican, 61.7
Caldwell, Richard Burr, Republican, 62.7
Camden, Richard Burr, Republican, 56
Carteret, Richard Burr, Republican, 63.3
Caswell, Erskine Bowles, Democrat, 50.4
Catawba, Richard Burr, Republican, 63.1
Chatham, Erskine Bowles, Democrat, 52.8
Cherokee, Richard Burr, Republican, 60.9
Chowan, Erskine Bowles, Democrat, 50.9
Clay, Richard Burr, Republican, 61.1
Cleveland, Richard Burr, Republican, 54.6
Columbus, Erskine Bowles, Democrat, 56.8
Craven, Richard Burr, Republican, 57.4
Cumberland, Erskine Bowles, Democrat, 52.4
Currituck, Richard Burr, Republican, 59.7
Dare, Richard Burr, Republican, 52.7
Davidson, Richard Burr, Republican, 65.5
Davie, Richard Burr, Republican, 71.4
Duplin, Richard Burr, Republican, 52
Durham, Erskine Bowles, Democrat, 69.5
Edgecombe, Erskine Bowles, Democrat, 65.5
Forsyth, Richard Burr, Republican, 53.1
Franklin, Richard Burr, Republican, 49.8
Gaston, Richard Burr, Republican, 62.6
Gates, Erskine Bowles, Democrat, 57.9
Graham, Richard Burr, Republican, 60.1
Granville, Erskine Bowles, Democrat, 53.1
Greene, Richard Burr, Republican, 52.4
Guilford, Erskine Bowles, Democrat, 53.5
Halifax, Erskine Bowles, Democrat, 63.1
Harnett, Richard Burr, Republican, 57.2
Haywood, Richard Burr, Republican, 49.5
Henderson, Richard Burr, Republican, 61.1
Hertford, Erskine Bowles, Democrat, 68
Hoke, Erskine Bowles, Democrat, 57.5
Hyde, Erskine Bowles, Democrat, 50.7
Iredell, Richard Burr, Republican, 62.5
Jackson, Erskine Bowles, Democrat, 51.2
Johnston, Richard Burr, Republican, 61.9
Jones, Richard Burr, Republican, 52.7
Lee, Richard Burr, Republican, 52.7
Lenoir, Richard Burr, Republican, 51.2
Lincoln, Richard Burr, Republican, 62.2
McDowell, Richard Burr, Republican, 59.2
Macon, Richard Burr, Republican, 58.1
Madison, Richard Burr, Republican, 49.2
Martin, Erskine Bowles, Democrat, 55.1
Mecklenburg, Erskine Bowles, Democrat, 54.4
Mitchell, Richard Burr, Republican, 69.4
Montgomery, Richard Burr, Republican, 52
Moore, Richard Burr, Republican, 59.9
Nash, Richard Burr, Republican, 52.7
New Hanover, Richard Burr, Republican, 52.1
Northampton, Erskine Bowles, Democrat, 66.9
Onslow, Richard Burr, Republican, 63.2
Orange, Erskine Bowles, Democrat, 67.8
Pamlico, Richard Burr, Republican, 55.3
Pasquotank, Erskine Bowles, Democrat, 55.9
Pender, Richard Burr, Republican, 54.6
Perquimans, Richard Burr, Republican, 52.7
Person, Richard Burr, Republican, 54.4
Pitt, Richard Burr, Republican, 50.1
Polk, Richard Burr, Republican, 52.7
Randolph, Richard Burr, Republican, 68.9
Richmond, Erskine Bowles, Democrat, 57.2
Robeson, Erskine Bowles, Democrat, 60.7
Rockingham, Richard Burr, Republican, 57.1
Rowan, Richard Burr, Republican, 62.1
Rutherford, Richard Burr, Republican, 58.4
Sampson, Richard Burr, Republican, 51.7
Scotland, Erskine Bowles, Democrat, 58.5
Stanly, Richard Burr, Republican, 64.1
Stokes, Richard Burr, Republican, 67.8
Surry, Richard Burr, Republican, 65
Swain, Erskine Bowles, Democrat, 51.6
Transylvania, Richard Burr, Republican, 56.2
Tyrrell, Erskine Bowles, Democrat, 55.7
Union, Richard Burr, Republican, 66.1
Vance, Erskine Bowles, Democrat, 60.6
Wake, Erskine Bowles, Democrat, 51.4
Warren, Erskine Bowles, Democrat, 67.6
Washington, Erskine Bowles, Democrat, 60.1
Watauga, Richard Burr, Republican, 51.3
Wayne, Richard Burr, Republican, 56.9
Wilkes, Richard Burr, Republican, 65.9
Wilson, Erskine Bowles, Democrat, 51.5
Yadkin, Richard Burr, Republican, 73.3
Yancey, Erskine Bowles, Democrat, 49.9
