Abbeville, Jimmy Carter, Democrat, 61.05
Aiken, Ronald Reagan, Republican, 57.37
Allendale, Jimmy Carter, Democrat, 69.62
Anderson, Jimmy Carter, Democrat, 53.25
Bamberg, Jimmy Carter, Democrat, 60.75
Barnwell, Jimmy Carter, Democrat, 50.69
Beaufort, Ronald Reagan, Republican, 51.62
Berkeley, Ronald Reagan, Republican, 55.63
Calhoun, Jimmy Carter, Democrat, 53.02
Charleston, Ronald Reagan, Republican, 55.13
Cherokee, Jimmy Carter, Democrat, 55.48
Chester, Jimmy Carter, Democrat, 61.52
Chesterfield, Jimmy Carter, Democrat, 64.11
Clarendon, Jimmy Carter, Democrat, 58.65
Colleton, Jimmy Carter, Democrat, 54.49
Darlington, Jimmy Carter, Democrat, 49.55
Dillon, Jimmy Carter, Democrat, 56.48
Dorchester, Ronald Reagan, Republican, 59.53
Edgefield, Jimmy Carter, Democrat, 58.36
Fairfield, Jimmy Carter, Democrat, 65.68
Florence, Ronald Reagan, Republican, 50.19
Georgetown, Jimmy Carter, Democrat, 55.65
Greenville, Ronald Reagan, Republican, 57.41
Greenwood, Jimmy Carter, Democrat, 54.97
Hampton, Jimmy Carter, Democrat, 65.56
Horry, Ronald Reagan, Republican, 49.62
Jasper, Jimmy Carter, Democrat, 66.65
Kershaw, Ronald Reagan, Republican, 55.55
Lancaster, Jimmy Carter, Democrat, 54.6
Laurens, Jimmy Carter, Democrat, 55.74
Lee, Jimmy Carter, Democrat, 61.17
Lexington, Ronald Reagan, Republican, 67.6
McCormick, Jimmy Carter, Democrat, 68.1
Marion, Jimmy Carter, Democrat, 61.12
Marlboro, Jimmy Carter, Democrat, 66.89
Newberry, Ronald Reagan, Republican, 52.96
Oconee, Jimmy Carter, Democrat, 56.49
Orangeburg, Jimmy Carter, Democrat, 58.33
Pickens, Ronald Reagan, Republican, 53.42
Richland, Ronald Reagan, Republican, 49.87
Saluda, Jimmy Carter, Democrat, 51.29
Spartanburg, Ronald Reagan, Republican, 51.12
Sumter, Ronald Reagan, Republican, 52.45
Union, Jimmy Carter, Democrat, 60
Williamsburg, Jimmy Carter, Democrat, 60.96
York, Jimmy Carter, Democrat, 50.22
