Adair, Ronald Reagan, Republican, 60.16
Adams, Ronald Reagan, Republican, 59.62
Allamakee, Ronald Reagan, Republican, 60.73
Appanoose, Ronald Reagan, Republican, 52.68
Audubon, Ronald Reagan, Republican, 57.96
Benton, Ronald Reagan, Republican, 50.11
Black Hawk, Ronald Reagan, Republican, 46.49
Boone, Ronald Reagan, Republican, 47.42
Bremer, Ronald Reagan, Republican, 59.25
Buchanan, Ronald Reagan, Republican, 53.5
Buena Vista, Ronald Reagan, Republican, 54.49
Butler, Ronald Reagan, Republican, 65.9
Calhoun, Ronald Reagan, Republican, 57.41
Carroll, Ronald Reagan, Republican, 51.53
Cass, Ronald Reagan, Republican, 66.34
Cedar, Ronald Reagan, Republican, 56.41
Cerro Gordo, Ronald Reagan, Republican, 49.01
Cherokee, Ronald Reagan, Republican, 54.49
Chickasaw, Ronald Reagan, Republican, 52.86
Clarke, Ronald Reagan, Republican, 54.88
Clay, Ronald Reagan, Republican, 51.11
Clayton, Ronald Reagan, Republican, 55.56
Clinton, Ronald Reagan, Republican, 51.66
Crawford, Ronald Reagan, Republican, 61.02
Dallas, Ronald Reagan, Republican, 48.57
Davis, Ronald Reagan, Republican, 50.97
Decatur, Ronald Reagan, Republican, 47.67
Delaware, Ronald Reagan, Republican, 55.38
Des Moines, Jimmy Carter, Democrat, 48.87
Dickinson, Ronald Reagan, Republican, 54.13
Dubuque, Jimmy Carter, Democrat, 44.99
Emmet, Ronald Reagan, Republican, 53.49
Fayette, Ronald Reagan, Republican, 55.32
Floyd, Ronald Reagan, Republican, 51.16
Franklin, Ronald Reagan, Republican, 57.9
Fremont, Ronald Reagan, Republican, 65.19
Greene, Ronald Reagan, Republican, 53.11
Grundy, Ronald Reagan, Republican, 66.1
Guthrie, Ronald Reagan, Republican, 58.29
Hamilton, Ronald Reagan, Republican, 57.4
Hancock, Ronald Reagan, Republican, 60.42
Hardin, Ronald Reagan, Republican, 53.72
Harrison, Ronald Reagan, Republican, 63.83
Henry, Ronald Reagan, Republican, 52.35
Howard, Ronald Reagan, Republican, 53.35
Humboldt, Ronald Reagan, Republican, 60.6
Ida, Ronald Reagan, Republican, 64.88
Iowa, Ronald Reagan, Republican, 55.21
Jackson, Ronald Reagan, Republican, 51.17
Jasper, Ronald Reagan, Republican, 48.84
Jefferson, Ronald Reagan, Republican, 56.16
Johnson, Jimmy Carter, Democrat, 46.8
Jones, Ronald Reagan, Republican, 50.56
Keokuk, Ronald Reagan, Republican, 52.64
Kossuth, Ronald Reagan, Republican, 54.26
Lee, Ronald Reagan, Republican, 48.14
Linn, Ronald Reagan, Republican, 46.35
Louisa, Ronald Reagan, Republican, 55.19
Lucas, Ronald Reagan, Republican, 52.61
Lyon, Ronald Reagan, Republican, 70.05
Madison, Ronald Reagan, Republican, 51.79
Mahaska, Ronald Reagan, Republican, 54.52
Marion, Ronald Reagan, Republican, 49.3
Marshall, Ronald Reagan, Republican, 54.56
Mills, Ronald Reagan, Republican, 69.09
Mitchell, Ronald Reagan, Republican, 58
Monona, Ronald Reagan, Republican, 61.85
Monroe, Ronald Reagan, Republican, 48.65
Montgomery, Ronald Reagan, Republican, 67.97
Muscatine, Ronald Reagan, Republican, 51.69
O'Brien, Ronald Reagan, Republican, 63.61
Osceola, Ronald Reagan, Republican, 62.45
Page, Ronald Reagan, Republican, 71.93
Palo Alto, Ronald Reagan, Republican, 50.69
Plymouth, Ronald Reagan, Republican, 62.97
Pocahontas, Ronald Reagan, Republican, 56.17
Polk, Ronald Reagan, Republican, 44.63
Pottawattamie, Ronald Reagan, Republican, 60.96
Poweshiek, Ronald Reagan, Republican, 50.52
Ringgold, Ronald Reagan, Republican, 57.95
Sac, Ronald Reagan, Republican, 59.47
Scott, Ronald Reagan, Republican, 51.09
Shelby, Ronald Reagan, Republican, 64.03
Sioux, Ronald Reagan, Republican, 76.01
Story, Ronald Reagan, Republican, 42.36
Tama, Ronald Reagan, Republican, 56.27
Taylor, Ronald Reagan, Republican, 64.44
Union, Ronald Reagan, Republican, 56.4
Van Buren, Ronald Reagan, Republican, 58.21
Wapello, Jimmy Carter, Democrat, 50.5
Warren, Ronald Reagan, Republican, 47.43
Washington, Ronald Reagan, Republican, 52.01
Wayne, Ronald Reagan, Republican, 54.12
Webster, Ronald Reagan, Republican, 49.63
Winnebago, Ronald Reagan, Republican, 58.77
Winneshiek, Ronald Reagan, Republican, 54.1
Woodbury, Ronald Reagan, Republican, 54.43
Worth, Ronald Reagan, Republican, 52.13
Wright, Ronald Reagan, Republican, 55.07
