Aitkin, Jimmy Carter, Democrat, 47.94
Anoka, Jimmy Carter, Democrat, 51.83
Becker, Ronald Reagan, Republican, 52.14
Beltrami, Jimmy Carter, Democrat, 47.83
Benton, Ronald Reagan, Republican, 46.79
Big Stone, Ronald Reagan, Republican, 47.67
Blue Earth, Ronald Reagan, Republican, 45.78
Brown, Ronald Reagan, Republican, 57.01
Carlton, Jimmy Carter, Democrat, 59.48
Carver, Ronald Reagan, Republican, 53.62
Cass, Ronald Reagan, Republican, 53.28
Chippewa, Ronald Reagan, Republican, 52.51
Chisago, Jimmy Carter, Democrat, 49.83
Clay, Ronald Reagan, Republican, 46.41
Clearwater, Jimmy Carter, Democrat, 47.26
Cook, Ronald Reagan, Republican, 50.62
Cottonwood, Ronald Reagan, Republican, 54.26
Crow Wing, Ronald Reagan, Republican, 50.03
Dakota, Jimmy Carter, Democrat, 45.84
Dodge, Ronald Reagan, Republican, 54.93
Douglas, Ronald Reagan, Republican, 53.85
Faribault, Ronald Reagan, Republican, 59.21
Fillmore, Ronald Reagan, Republican, 57.04
Freeborn, Ronald Reagan, Republican, 47.65
Goodhue, Ronald Reagan, Republican, 46.07
Grant, Ronald Reagan, Republican, 48.08
Hennepin, Jimmy Carter, Democrat, 47.41
Houston, Ronald Reagan, Republican, 58.88
Hubbard, Ronald Reagan, Republican, 55.53
Isanti, Jimmy Carter, Democrat, 50.49
Itasca, Jimmy Carter, Democrat, 54.59
Jackson, Ronald Reagan, Republican, 48
Kanabec, Jimmy Carter, Democrat, 48.18
Kandiyohi, Ronald Reagan, Republican, 46.86
Kittson, Ronald Reagan, Republican, 52.42
Koochiching, Jimmy Carter, Democrat, 50.68
Lac qui Parle, Ronald Reagan, Republican, 50.5
Lake, Jimmy Carter, Democrat, 55.75
Lake of the Woods, Ronald Reagan, Republican, 52.6
Le Sueur, Ronald Reagan, Republican, 47.12
Lincoln, Ronald Reagan, Republican, 51.49
Lyon, Ronald Reagan, Republican, 45.33
Mahnomen, Ronald Reagan, Republican, 48.39
Marshall, Ronald Reagan, Republican, 53.7
Martin, Ronald Reagan, Republican, 57.4
McLeod, Ronald Reagan, Republican, 55.71
Meeker, Ronald Reagan, Republican, 49.85
Mille Lacs, Jimmy Carter, Democrat, 49.3
Morrison, Jimmy Carter, Democrat, 49.44
Mower, Jimmy Carter, Democrat, 51.85
Murray, Ronald Reagan, Republican, 48.56
Nicollet, Ronald Reagan, Republican, 47.25
Nobles, Ronald Reagan, Republican, 45.4
Norman, Jimmy Carter, Democrat, 46.17
Olmsted, Ronald Reagan, Republican, 55.5
Otter Tail, Ronald Reagan, Republican, 57.74
Pennington, Ronald Reagan, Republican, 50.09
Pine, Jimmy Carter, Democrat, 52.86
Pipestone, Ronald Reagan, Republican, 51.37
Polk, Ronald Reagan, Republican, 51.21
Pope, Ronald Reagan, Republican, 51.34
Ramsey, Jimmy Carter, Democrat, 53.61
Red Lake, Jimmy Carter, Democrat, 48.69
Redwood, Ronald Reagan, Republican, 61.79
Renville, Ronald Reagan, Republican, 53.08
Rice, Jimmy Carter, Democrat, 46.1
Rock, Ronald Reagan, Republican, 55.38
Roseau, Ronald Reagan, Republican, 53.16
Saint Louis, Jimmy Carter, Democrat, 60.52
Scott, Jimmy Carter, Democrat, 45.49
Sherburne, Jimmy Carter, Democrat, 45.73
Sibley, Ronald Reagan, Republican, 58.36
Stearns, Ronald Reagan, Republican, 48.31
Steele, Ronald Reagan, Republican, 54.66
Stevens, Ronald Reagan, Republican, 50.69
Swift, Jimmy Carter, Democrat, 47.56
Todd, Ronald Reagan, Republican, 53.27
Traverse, Ronald Reagan, Republican, 51.95
Wabasha, Ronald Reagan, Republican, 52.75
Wadena, Ronald Reagan, Republican, 57.57
Waseca, Ronald Reagan, Republican, 51.62
Washington, Jimmy Carter, Democrat, 46.69
Watonwan, Ronald Reagan, Republican, 55.09
Wilkin, Ronald Reagan, Republican, 54.15
Winona, Ronald Reagan, Republican, 45.11
Wright, Jimmy Carter, Democrat, 45.88
Yellow Medicine, Ronald Reagan, Republican, 53.95
