Anderson, Ronald Reagan, Republican, 55.31
Bedford, Jimmy Carter, Democrat, 62.48
Benton, Jimmy Carter, Democrat, 61.54
Bledsoe, Ronald Reagan, Republican, 54.94
Blount, Ronald Reagan, Republican, 63.81
Bradley, Ronald Reagan, Republican, 59.63
Campbell, Ronald Reagan, Republican, 52.99
Cannon, Jimmy Carter, Democrat, 61.59
Carroll, Ronald Reagan, Republican, 50.98
Carter, Ronald Reagan, Republican, 64.44
Cheatham, Jimmy Carter, Democrat, 60.81
Chester, Ronald Reagan, Republican, 55.69
Claiborne, Ronald Reagan, Republican, 59.05
Clay, Jimmy Carter, Democrat, 49.76
Cocke, Ronald Reagan, Republican, 74.39
Coffee, Jimmy Carter, Democrat, 56.84
Crockett, Jimmy Carter, Democrat, 52.79
Cumberland, Ronald Reagan, Republican, 60.89
Davidson, Jimmy Carter, Democrat, 59.08
DeKalb, Jimmy Carter, Democrat, 60.56
Decatur, Jimmy Carter, Democrat, 49.98
Dickson, Jimmy Carter, Democrat, 63.27
Dyer, Jimmy Carter, Democrat, 50.08
Fayette, Jimmy Carter, Democrat, 57.55
Fentress, Ronald Reagan, Republican, 60.76
Franklin, Jimmy Carter, Democrat, 60.96
Gibson, Jimmy Carter, Democrat, 58.08
Giles, Jimmy Carter, Democrat, 61.74
Grainger, Ronald Reagan, Republican, 67.12
Greene, Ronald Reagan, Republican, 63.13
Grundy, Jimmy Carter, Democrat, 70.59
Hamblen, Ronald Reagan, Republican, 60.6
Hamilton, Ronald Reagan, Republican, 56.4
Hancock, Ronald Reagan, Republican, 69.72
Hardeman, Jimmy Carter, Democrat, 57.64
Hardin, Ronald Reagan, Republican, 55.84
Hawkins, Ronald Reagan, Republican, 57.92
Haywood, Jimmy Carter, Democrat, 57.97
Henderson, Ronald Reagan, Republican, 64.45
Henry, Jimmy Carter, Democrat, 59.11
Hickman, Jimmy Carter, Democrat, 61.66
Houston, Jimmy Carter, Democrat, 69.15
Humphreys, Jimmy Carter, Democrat, 66.61
Jackson, Jimmy Carter, Democrat, 70.16
Jefferson, Ronald Reagan, Republican, 66.82
Johnson, Ronald Reagan, Republican, 74.99
Knox, Ronald Reagan, Republican, 56.26
Lake, Jimmy Carter, Democrat, 67.03
Lauderdale, Jimmy Carter, Democrat, 59.68
Lawrence, Ronald Reagan, Republican, 48.47
Lewis, Jimmy Carter, Democrat, 66.18
Lincoln, Jimmy Carter, Democrat, 64.06
Loudon, Ronald Reagan, Republican, 61.51
Macon, Ronald Reagan, Republican, 58.96
Madison, Ronald Reagan, Republican, 50.27
Marion, Jimmy Carter, Democrat, 53.44
Marshall, Jimmy Carter, Democrat, 64.16
Maury, Jimmy Carter, Democrat, 52.94
McMinn, Ronald Reagan, Republican, 57.76
McNairy, Ronald Reagan, Republican, 54.06
Meigs, Ronald Reagan, Republican, 55.18
Monroe, Ronald Reagan, Republican, 56.45
Montgomery, Jimmy Carter, Democrat, 55.91
Moore, Jimmy Carter, Democrat, 62.26
Morgan, Ronald Reagan, Republican, 56.29
Obion, Jimmy Carter, Democrat, 50.73
Overton, Jimmy Carter, Democrat, 63.47
Perry, Jimmy Carter, Democrat, 62.77
Pickett, Ronald Reagan, Republican, 62.75
Polk, Jimmy Carter, Democrat, 49.8
Putnam, Jimmy Carter, Democrat, 54.8
Rhea, Ronald Reagan, Republican, 59.44
Roane, Ronald Reagan, Republican, 61.03
Robertson, Jimmy Carter, Democrat, 66.34
Rutherford, Jimmy Carter, Democrat, 55.62
Scott, Ronald Reagan, Republican, 62.38
Sequatchie, Ronald Reagan, Republican, 49.54
Sevier, Ronald Reagan, Republican, 73.25
Shelby, Jimmy Carter, Democrat, 51.61
Smith, Jimmy Carter, Democrat, 66.43
Stewart, Jimmy Carter, Democrat, 68.54
Sullivan, Ronald Reagan, Republican, 51.44
Sumner, Jimmy Carter, Democrat, 52.93
Tipton, Jimmy Carter, Democrat, 52.48
Trousdale, Jimmy Carter, Democrat, 71.11
Unicoi, Ronald Reagan, Republican, 65.5
Union, Ronald Reagan, Republican, 62.09
Van Buren, Jimmy Carter, Democrat, 63.11
Warren, Jimmy Carter, Democrat, 60.79
Washington, Ronald Reagan, Republican, 57.71
Wayne, Ronald Reagan, Republican, 64.53
Weakley, Jimmy Carter, Democrat, 50.21
White, Jimmy Carter, Democrat, 60.84
Williamson, Ronald Reagan, Republican, 54.98
Wilson, Jimmy Carter, Democrat, 58.36
