Accomack, Ronald Reagan, Republican, 50.21
Albemarle, Ronald Reagan, Republican, 53.23
Alleghany, Jimmy Carter, Democrat, 50.69
Amelia, Ronald Reagan, Republican, 53.2
Amherst, Ronald Reagan, Republican, 57.56
Appomattox, Ronald Reagan, Republican, 60.42
Arlington, Ronald Reagan, Republican, 46.15
Augusta, Ronald Reagan, Republican, 64.32
Bath, Jimmy Carter, Democrat, 49.78
Bedford, Ronald Reagan, Republican, 55.81
Bland, Ronald Reagan, Republican, 54.5
Botetourt, Ronald Reagan, Republican, 51.24
Brunswick, Jimmy Carter, Democrat, 58.49
Buchanan, Jimmy Carter, Democrat, 54.27
Buckingham, Jimmy Carter, Democrat, 49.27
Campbell, Ronald Reagan, Republican, 65.16
Caroline, Jimmy Carter, Democrat, 56.73
Carroll, Ronald Reagan, Republican, 61.29
Charles City, Jimmy Carter, Democrat, 73.39
Charlotte, Ronald Reagan, Republican, 51.26
Chesterfield, Ronald Reagan, Republican, 70.71
Clarke, Ronald Reagan, Republican, 57.44
Craig, Jimmy Carter, Democrat, 53.18
Culpeper, Ronald Reagan, Republican, 59.43
Cumberland, Ronald Reagan, Republican, 50.1
Dickenson, Jimmy Carter, Democrat, 52.25
Dinwiddie, Jimmy Carter, Democrat, 49.52
Essex, Ronald Reagan, Republican, 52.93
Fairfax, Ronald Reagan, Republican, 57.41
Fauquier, Ronald Reagan, Republican, 58.11
Floyd, Ronald Reagan, Republican, 56.6
Fluvanna, Ronald Reagan, Republican, 50.41
Franklin, Jimmy Carter, Democrat, 51.26
Frederick, Ronald Reagan, Republican, 67.61
Giles, Jimmy Carter, Democrat, 52.26
Gloucester, Ronald Reagan, Republican, 53.96
Goochland, Ronald Reagan, Republican, 49.68
Grayson, Ronald Reagan, Republican, 53.37
Greene, Ronald Reagan, Republican, 60.55
Greensville, Jimmy Carter, Democrat, 56.37
Halifax, Ronald Reagan, Republican, 51.73
Hanover, Ronald Reagan, Republican, 70.02
Henrico, Ronald Reagan, Republican, 66.85
Henry, Jimmy Carter, Democrat, 49.49
Highland, Ronald Reagan, Republican, 58.76
Isle of Wight, Jimmy Carter, Democrat, 50.76
James City, Ronald Reagan, Republican, 53.29
King and Queen, Jimmy Carter, Democrat, 52.47
King George, Ronald Reagan, Republican, 53.54
King William, Ronald Reagan, Republican, 56.54
Lancaster, Ronald Reagan, Republican, 61.01
Lee, Jimmy Carter, Democrat, 50.74
Loudoun, Ronald Reagan, Republican, 58.93
Louisa, Jimmy Carter, Democrat, 49.23
Lunenburg, Ronald Reagan, Republican, 49.44
Madison, Ronald Reagan, Republican, 55.64
Mathews, Ronald Reagan, Republican, 59.31
Mecklenburg, Ronald Reagan, Republican, 54.45
Middlesex, Ronald Reagan, Republican, 54.13
Montgomery, Ronald Reagan, Republican, 47.41
Nelson, Jimmy Carter, Democrat, 53.6
New Kent, Ronald Reagan, Republican, 57.3
Northampton, Jimmy Carter, Democrat, 49.82
Northumberland, Ronald Reagan, Republican, 60
Nottoway, Ronald Reagan, Republican, 50.13
Orange, Ronald Reagan, Republican, 54.9
Page, Ronald Reagan, Republican, 60.2
Patrick, Ronald Reagan, Republican, 56.12
Pittsylvania, Ronald Reagan, Republican, 59.28
Powhatan, Ronald Reagan, Republican, 64.18
Prince Edward, Ronald Reagan, Republican, 49.55
Prince George, Ronald Reagan, Republican, 57.56
Prince William, Ronald Reagan, Republican, 58.95
Pulaski, Jimmy Carter, Democrat, 47.92
Rappahannock, Ronald Reagan, Republican, 49.81
Richmond, Ronald Reagan, Republican, 62.81
Roanoke, Ronald Reagan, Republican, 55.76
Rockbridge, Ronald Reagan, Republican, 49.04
Rockingham, Ronald Reagan, Republican, 63.82
Russell, Jimmy Carter, Democrat, 53.01
Scott, Ronald Reagan, Republican, 50.54
Shenandoah, Ronald Reagan, Republican, 67.1
Smyth, Ronald Reagan, Republican, 50.86
Southampton, Jimmy Carter, Democrat, 50.81
Spotsylvania, Ronald Reagan, Republican, 53.82
Stafford, Ronald Reagan, Republican, 58.85
Surry, Jimmy Carter, Democrat, 62.25
Sussex, Jimmy Carter, Democrat, 57.27
Tazewell, Ronald Reagan, Republican, 48.67
Warren, Ronald Reagan, Republican, 55.79
Washington, Ronald Reagan, Republican, 53.87
Westmoreland, Ronald Reagan, Republican, 50.31
