Autauga, Ronald Reagan, Republican, 56.87
Baldwin, Ronald Reagan, Republican, 65.78
Barbour, Jimmy Carter, Democrat, 49.53
Bibb, Jimmy Carter, Democrat, 55.08
Blount, Ronald Reagan, Republican, 53.59
Bullock, Jimmy Carter, Democrat, 70.25
Butler, Jimmy Carter, Democrat, 49.67
Calhoun, Ronald Reagan, Republican, 49.17
Chambers, Jimmy Carter, Democrat, 55.88
Cherokee, Jimmy Carter, Democrat, 58.47
Chilton, Ronald Reagan, Republican, 57.64
Choctaw, Jimmy Carter, Democrat, 55.93
Clarke, Jimmy Carter, Democrat, 49.23
Clay, Jimmy Carter, Democrat, 49.73
Cleburne, Ronald Reagan, Republican, 52.78
Coffee, Ronald Reagan, Republican, 50.45
Colbert, Jimmy Carter, Democrat, 62.71
Conecuh, Jimmy Carter, Democrat, 50.19
Coosa, Jimmy Carter, Democrat, 56.62
Covington, Ronald Reagan, Republican, 51.54
Crenshaw, Jimmy Carter, Democrat, 51.45
Cullman, Jimmy Carter, Democrat, 51.82
Dale, Ronald Reagan, Republican, 57.64
Dallas, Jimmy Carter, Democrat, 53.84
DeKalb, Ronald Reagan, Republican, 51.75
Elmore, Ronald Reagan, Republican, 57.2
Escambia, Ronald Reagan, Republican, 54.04
Etowah, Jimmy Carter, Democrat, 54.99
Fayette, Jimmy Carter, Democrat, 49.92
Franklin, Jimmy Carter, Democrat, 57.01
Geneva, Ronald Reagan, Republican, 49.3
Greene, Jimmy Carter, Democrat, 76.55
Hale, Jimmy Carter, Democrat, 59.93
Henry, Jimmy Carter, Democrat, 50.57
Houston, Ronald Reagan, Republican, 64.05
Jackson, Jimmy Carter, Democrat, 61.79
Jefferson, Ronald Reagan, Republican, 51.1
Lamar, Jimmy Carter, Democrat, 54.41
Lauderdale, Jimmy Carter, Democrat, 56.45
Lawrence, Jimmy Carter, Democrat, 69.92
Lee, Ronald Reagan, Republican, 49.98
Limestone, Jimmy Carter, Democrat, 61.12
Lowndes, Jimmy Carter, Democrat, 67.12
Macon, Jimmy Carter, Democrat, 80.1
Madison, Ronald Reagan, Republican, 47.03
Marengo, Jimmy Carter, Democrat, 53.6
Marion, Jimmy Carter, Democrat, 50.75
Marshall, Jimmy Carter, Democrat, 54.45
Mobile, Ronald Reagan, Republican, 57.71
Monroe, Ronald Reagan, Republican, 50.87
Montgomery, Ronald Reagan, Republican, 53.75
Morgan, Jimmy Carter, Democrat, 50.23
Perry, Jimmy Carter, Democrat, 64.52
Pickens, Jimmy Carter, Democrat, 55.05
Pike, Ronald Reagan, Republican, 52.25
Randolph, Jimmy Carter, Democrat, 47.62
Russell, Jimmy Carter, Democrat, 60.17
Shelby, Ronald Reagan, Republican, 64.28
St. Clair, Ronald Reagan, Republican, 56.89
Sumter, Jimmy Carter, Democrat, 69.66
Talladega, Jimmy Carter, Democrat, 49.22
Tallapoosa, Jimmy Carter, Democrat, 53.37
Tuscaloosa, Ronald Reagan, Republican, 48.5
Walker, Jimmy Carter, Democrat, 59.65
Washington, Jimmy Carter, Democrat, 53.13
Wilcox, Jimmy Carter, Democrat, 68.19
Winston, Ronald Reagan, Republican, 59.04
