Accomack, Bill Clinton, Democrat, 44.79
Albemarle, Bob Dole, Republican, 48.81
Alleghany, Bill Clinton, Democrat, 47.26
Amelia, Bob Dole, Republican, 51.13
Amherst, Bob Dole, Republican, 46.63
Appomattox, Bob Dole, Republican, 47.93
Arlington, Bill Clinton, Democrat, 60.46
Augusta, Bob Dole, Republican, 60.89
Bath, Bill Clinton, Democrat, 44.95
Bedford, Bob Dole, Republican, 54.07
Bland, Bob Dole, Republican, 46
Botetourt, Bob Dole, Republican, 51.73
Brunswick, Bill Clinton, Democrat, 58.16
Buchanan, Bill Clinton, Democrat, 63.4
Buckingham, Bill Clinton, Democrat, 48.95
Campbell, Bob Dole, Republican, 54.35
Caroline, Bill Clinton, Democrat, 53.49
Carroll, Bob Dole, Republican, 51.04
Charles City, Bill Clinton, Democrat, 66.09
Charlotte, Bob Dole, Republican, 45.58
Chesterfield, Bob Dole, Republican, 60.71
Clarke, Bob Dole, Republican, 48.17
Craig, Bob Dole, Republican, 45.35
Culpeper, Bob Dole, Republican, 53.9
Cumberland, Bob Dole, Republican, 48.4
Dickenson, Bill Clinton, Democrat, 56.97
Dinwiddie, Bill Clinton, Democrat, 47.4
Essex, Bill Clinton, Democrat, 47.21
Fairfax, Bob Dole, Republican, 48.19
Fauquier, Bob Dole, Republican, 57.45
Floyd, Bob Dole, Republican, 48.07
Fluvanna, Bob Dole, Republican, 51.66
Franklin, Bob Dole, Republican, 43.46
Frederick, Bob Dole, Republican, 57.61
Giles, Bill Clinton, Democrat, 47.52
Gloucester, Bob Dole, Republican, 51.2
Goochland, Bob Dole, Republican, 55.47
Grayson, Bob Dole, Republican, 46.92
Greene, Bob Dole, Republican, 55.29
Greensville, Bill Clinton, Democrat, 61.96
Halifax, Bob Dole, Republican, 49.07
Hanover, Bob Dole, Republican, 63.6
Henrico, Bob Dole, Republican, 53.37
Henry, Bob Dole, Republican, 43.64
Highland, Bob Dole, Republican, 51.68
Isle of Wight, Bob Dole, Republican, 47.64
James City, Bob Dole, Republican, 54.45
King and Queen, Bill Clinton, Democrat, 50.54
King George, Bob Dole, Republican, 53.62
King William, Bob Dole, Republican, 52.49
Lancaster, Bob Dole, Republican, 55.36
Lee, Bill Clinton, Democrat, 51.65
Loudoun, Bob Dole, Republican, 52.13
Louisa, Bob Dole, Republican, 45.27
Lunenburg, Bob Dole, Republican, 46.26
Madison, Bob Dole, Republican, 50.91
Mathews, Bob Dole, Republican, 51.78
Mecklenburg, Bob Dole, Republican, 48
Middlesex, Bob Dole, Republican, 49.83
Montgomery, Bill Clinton, Democrat, 44.72
Nelson, Bill Clinton, Democrat, 52.85
New Kent, Bob Dole, Republican, 54.15
Northampton, Bill Clinton, Democrat, 51.92
Northumberland, Bob Dole, Republican, 51.81
Nottoway, Bob Dole, Republican, 46.34
Orange, Bob Dole, Republican, 49.79
Page, Bob Dole, Republican, 51.83
Patrick, Bob Dole, Republican, 52.39
Pittsylvania, Bob Dole, Republican, 55.85
Powhatan, Bob Dole, Republican, 61.22
Prince Edward, Bill Clinton, Democrat, 47.16
Prince George, Bob Dole, Republican, 54.86
Prince William, Bob Dole, Republican, 50.09
Pulaski, Bob Dole, Republican, 43.78
Rappahannock, Bob Dole, Republican, 47.31
Richmond, Bob Dole, Republican, 50.91
Roanoke, Bob Dole, Republican, 52.51
Rockbridge, Bob Dole, Republican, 44.98
Rockingham, Bob Dole, Republican, 64.66
Russell, Bill Clinton, Democrat, 53.68
Scott, Bob Dole, Republican, 47.66
Shenandoah, Bob Dole, Republican, 56.02
