Arkansas, John Boozman, Republican, 74.9
Ashley, John Boozman, Republican, 75.5
Baxter, John Boozman, Republican, 78.3
Benton, John Boozman, Republican, 65.1
Boone, John Boozman, Republican, 80.2
Bradley, John Boozman, Republican, 69.7
Calhoun, John Boozman, Republican, 80.2
Carroll, John Boozman, Republican, 65
Chicot, John Boozman, Republican, 49.9
Clark, John Boozman, Republican, 60.4
Clay, John Boozman, Republican, 78.6
Cleburne, John Boozman, Republican, 83.1
Cleveland, John Boozman, Republican, 84
Columbia, John Boozman, Republican, 69
Conway, John Boozman, Republican, 69.2
Craighead, John Boozman, Republican, 67.8
Crawford, John Boozman, Republican, 78.6
Crittenden, John Boozman, Republican, 51.1
Cross, John Boozman, Republican, 75.6
Dallas, John Boozman, Republican, 66.5
Desha, John Boozman, Republican, 54.6
Drew, John Boozman, Republican, 67.2
Faulkner, John Boozman, Republican, 65.5
Franklin, John Boozman, Republican, 79.7
Fulton, John Boozman, Republican, 78.6
Garland, John Boozman, Republican, 68.6
Grant, John Boozman, Republican, 82.9
Greene, John Boozman, Republican, 78.7
Hempstead, John Boozman, Republican, 72
Hot Spring, John Boozman, Republican, 74.6
Howard, John Boozman, Republican, 73.8
Independence, John Boozman, Republican, 79.1
Izard, John Boozman, Republican, 80.7
Jackson, John Boozman, Republican, 72.6
Jefferson, Natalie James, Democrat, 54.2
Johnson, John Boozman, Republican, 75.7
Lafayette, John Boozman, Republican, 65.5
Lawrence, John Boozman, Republican, 80.7
Lee, John Boozman, Republican, 49.2
Lincoln, John Boozman, Republican, 74.6
Little River, John Boozman, Republican, 76
Logan, John Boozman, Republican, 79
Lonoke, John Boozman, Republican, 76.1
Madison, John Boozman, Republican, 77.7
Marion, John Boozman, Republican, 79.6
Miller, John Boozman, Republican, 75.8
Mississippi, John Boozman, Republican, 63.9
Monroe, John Boozman, Republican, 58
Montgomery, John Boozman, Republican, 79.8
Nevada, John Boozman, Republican, 67.9
Newton, John Boozman, Republican, 79.7
Ouachita, John Boozman, Republican, 59.5
Perry, John Boozman, Republican, 77
Phillips, Natalie James, Democrat, 53.3
Pike, John Boozman, Republican, 84.6
Poinsett, John Boozman, Republican, 79.6
Polk, John Boozman, Republican, 82.6
Pope, John Boozman, Republican, 75.4
Prairie, John Boozman, Republican, 83.1
Pulaski, Natalie James, Democrat, 54.7
Randolph, John Boozman, Republican, 79.3
St. Francis, John Boozman, Republican, 49.9
Saline, John Boozman, Republican, 71.7
Scott, John Boozman, Republican, 84.6
Searcy, John Boozman, Republican, 81.1
Sebastian, John Boozman, Republican, 70.3
Sevier, John Boozman, Republican, 79.7
Sharp, John Boozman, Republican, 80.5
Stone, John Boozman, Republican, 77.9
Union, John Boozman, Republican, 68.3
Van Buren, John Boozman, Republican, 77.9
Washington, John Boozman, Republican, 53
White, John Boozman, Republican, 80.2
Woodruff, John Boozman, Republican, 66.3
Yell, John Boozman, Republican, 81
