Alamance, Dan Forest, Republican, 49.9
Alexander, Dan Forest, Republican, 74.2
Alleghany, Dan Forest, Republican, 67.1
Anson, Roy Cooper, Democrat, 54.6
Ashe, Dan Forest, Republican, 67.3
Avery, Dan Forest, Republican, 73.2
Beaufort, Dan Forest, Republican, 59.9
Bertie, Roy Cooper, Democrat, 62.1
Bladen, Dan Forest, Republican, 53.4
Brunswick, Dan Forest, Republican, 57.6
Buncombe, Roy Cooper, Democrat, 62
Burke, Dan Forest, Republican, 65
Cabarrus, Dan Forest, Republican, 51.3
Caldwell, Dan Forest, Republican, 70.9
Camden, Dan Forest, Republican, 71
Carteret, Dan Forest, Republican, 67.5
Caswell, Dan Forest, Republican, 55.2
Catawba, Dan Forest, Republican, 64.6
Chatham, Roy Cooper, Democrat, 57.9
Cherokee, Dan Forest, Republican, 75.5
Chowan, Dan Forest, Republican, 55.5
Clay, Dan Forest, Republican, 72.8
Cleveland, Dan Forest, Republican, 62.7
Columbus, Dan Forest, Republican, 59.9
Craven, Dan Forest, Republican, 56
Cumberland, Roy Cooper, Democrat, 60.3
Currituck, Dan Forest, Republican, 70.5
Dare, Dan Forest, Republican, 54.8
Davidson, Dan Forest, Republican, 68.7
Davie, Dan Forest, Republican, 67.7
Duplin, Dan Forest, Republican, 58.7
Durham, Roy Cooper, Democrat, 81.9
Edgecombe, Roy Cooper, Democrat, 66
Forsyth, Roy Cooper, Democrat, 59.2
Franklin, Dan Forest, Republican, 51.9
Gaston, Dan Forest, Republican, 60.2
Gates, Dan Forest, Republican, 53.3
Graham, Dan Forest, Republican, 75.1
Granville, Roy Cooper, Democrat, 49.9
Greene, Dan Forest, Republican, 53.6
Guilford, Roy Cooper, Democrat, 63.8
Halifax, Roy Cooper, Democrat, 62.6
Harnett, Dan Forest, Republican, 56.9
Haywood, Dan Forest, Republican, 58.1
Henderson, Dan Forest, Republican, 55.8
Hertford, Roy Cooper, Democrat, 68.2
Hoke, Roy Cooper, Democrat, 58.5
Hyde, Dan Forest, Republican, 54.4
Iredell, Dan Forest, Republican, 62.7
Jackson, Dan Forest, Republican, 49.3
Johnston, Dan Forest, Republican, 57.9
Jones, Dan Forest, Republican, 56.7
Lee, Dan Forest, Republican, 51.8
Lenoir, Roy Cooper, Democrat, 50.1
Lincoln, Dan Forest, Republican, 69.3
McDowell, Dan Forest, Republican, 68.8
Macon, Dan Forest, Republican, 64.5
Madison, Dan Forest, Republican, 56.3
Martin, Roy Cooper, Democrat, 50.2
Mecklenburg, Roy Cooper, Democrat, 67.8
Mitchell, Dan Forest, Republican, 75.8
Montgomery, Dan Forest, Republican, 59.4
Moore, Dan Forest, Republican, 59
Nash, Roy Cooper, Democrat, 53.1
New Hanover, Roy Cooper, Democrat, 53
Northampton, Roy Cooper, Democrat, 62.6
Onslow, Dan Forest, Republican, 61.3
Orange, Roy Cooper, Democrat, 76.7
Pamlico, Dan Forest, Republican, 61.3
Pasquotank, Roy Cooper, Democrat, 50.8
Pender, Dan Forest, Republican, 61.3
Perquimans, Dan Forest, Republican, 63.7
Person, Dan Forest, Republican, 56.4
Pitt, Roy Cooper, Democrat, 56.1
Polk, Dan Forest, Republican, 59.2
Randolph, Dan Forest, Republican, 72.9
Richmond, Dan Forest, Republican, 52.1
Robeson, Dan Forest, Republican, 51.3
Rockingham, Dan Forest, Republican, 60.6
Rowan, Dan Forest, Republican, 63.7
Rutherford, Dan Forest, Republican, 68.4
Sampson, Dan Forest, Republican, 57.5
Scotland, Roy Cooper, Democrat, 52.4
Stanly, Dan Forest, Republican, 71
Stokes, Dan Forest, Republican, 73.4
Surry, Dan Forest, Republican, 69.3
Swain, Dan Forest, Republican, 54.7
Transylvania, Dan Forest, Republican, 53.1
Tyrrell, Dan Forest, Republican, 54.1
Union, Dan Forest, Republican, 59.3
Vance, Roy Cooper, Democrat, 62.8
Wake, Roy Cooper, Democrat, 65.2
Warren, Roy Cooper, Democrat, 65.2
Washington, Roy Cooper, Democrat, 57
Watauga, Roy Cooper, Democrat, 55.1
Wayne, Dan Forest, Republican, 52.5
Wilkes, Dan Forest, Republican, 72
Wilson, Roy Cooper, Democrat, 54.1
Yadkin, Dan Forest, Republican, 74.9
Yancey, Dan Forest, Republican, 62.5
